"name","count"
"professor",123
"students",119
"really",117
"one",101
"also",91
"will",91
"course",89
"lectures",84
"just",83
"take",82
"can",80
"great",80
"time",69
"material",67
"get",66
"lot",63
"questions",61
"good",55
"like",55
"even",54
"know",54
"well",54
"much",53
"interesting",52
"discussion",49
"think",48
"always",47
"first",47
"learn",45
"people",45
"easy",44
"semester",44
"teaching",44
"pretty",43
"lecture",40
"however",39
"little",38
"things",38
"want",38
"book",37
