"name","count"
"art",11
"take",11
"just",10
"one",10
"really",10
"also",8
"discussions",8
"interesting",8
"will",8
"discussion",7
"lot",7
"semester",7
"students",7
"time",7
"columbia",6
"exams",6
"well",6
"actually",5
"classes",5
"course",5
"fair",5
"first",5
"going",5
"great",5
"hum",5
"idea",5
"like",5
"papers",5
"say",5
"think",5
"want",5
"white",5
"architecture",4
"best",4
"better",4
"english",4
"enjoy",4
"even",4
"guy",4
"instead",4
