"name","count"
"really",232
"professor",193
"one",187
"will",180
"students",164
"take",156
"course",142
"just",140
"lectures",137
"can",135
"get",132
"good",129
"time",123
"material",113
"like",110
"even",108
"also",105
"much",99
"great",97
"lot",97
"people",91
"first",86
"interesting",86
"semester",86
"well",84
"classes",82
"teacher",82
"think",76
"lecture",75
"final",73
"though",73
"read",72
"prof",70
"teaching",70
"know",69
"nice",68
"pretty",67
"say",67
"way",67
"work",67
