"name","count"
"answer",48
"gives",46
"hum",44
"question",42
"math",39
"points",38
"textbook",38
"last",36
"lit",35
"sets",35
"test",35
"man",34
"stuff",34
"least",33
"discussions",32
"felt",32
"science",32
"see",32
"learning",31
"taught",31
"basically",30
"concepts",30
"keep",30
"section",30
"tell",30
"ask",29
"comments",29
"instead",29
"right",29
"syllabus",29
"talk",29
"texts",29
"fact",28
"different",27
"half",27
"quizzes",27
"study",27
"teaches",27
"worth",27
"year",27
