"name","count"
"man",31
"french",26
"learning",26
"ask",24
"english",23
"rather",23
"answer",22
"talk",20
"concepts",19
"might",19
"section",19
"sense",19
"comments",18
"kind",18
"part",18
"science",18
"try",18
"clearly",17
"fact",17
"grades",17
"knowledge",17
"language",17
"lecturer",17
"nothing",17
"points",17
"study",17
"teaches",17
"able",16
"amazing",16
"explain",16
"lab",16
"right",16
"sets",16
"spanish",16
"start",16
"stuff",16
"another",15
"classroom",15
"highly",15
"incredibly",15
